Name,Phone Number,Feedback,Message,Timestamp,Duration(s),Initial Spoken To,Follow-up Status,Followup Message,Followup Timestamp,Follow-up Count,Follow-up Spoken To
27wp studio,9840973468,Not Picked,,16-05-2025 12:11,36,,,,,,
MONIKA PHOTO LAB,9941851044,Not Interested,no requirement,16-05-2025 12:12,54,,,,,,
Collida Studio,9409307384,Not Picked,,16-05-2025 12:12,39,,,,,,
LIGHTEX PHOTOGRAPHY,9715222266,Follow Up,he will call after some time,16-05-2025 12:14,78,,Not Picked,,30-06-2025 16:42,31,
BLUE STAR NURSERY & PRIMARY SCHOOL,9444201799,Not Picked,,16-05-2025 14:43,68,,,,,,
LITTLE MILLENNIUM PRESCHOOL KELAMBAKKAM,9176549333,Not Picked,,16-05-2025 14:47,217,,,,,,
PTC Aviation Academy,7200015600,Not Picked,,16-05-2025 14:47,12,,,,,,
Pioneer Matric Hr. Sec. School,7811833155,Follow Up,need to call back after Wednesday at that time only principal mam came,16-05-2025 14:49,75,,,,,,
"Magathi Vidhya Kendra Preschool, Kundrathur, Chennai",8925699887,Not Picked,,16-05-2025 14:50,62,,,,,,
Kidzee Kundrathur,8328517764,Not Interested,no requirement,16-05-2025 14:51,60,,,,,,
Penguin Matriculation Higher Secondary School,9551281628,Not Interested,,16-05-2025 14:55,213,,,,,,
APOLLO COMPUTER EDUCATION- AVADI,8939147333,Follow Up,"if they need will call back, we don't call again",16-05-2025 14:57,126,,,,,,
V Achievers IAS Academy,8925308231,Not Picked,,16-05-2025 14:58,94,,,,,,
Oh My Baby - Photography Studio,7708090350,Not Interested,no requirement,16-05-2025 15:00,61,,,,,,
Life Lights Photography - wedding photography,9176452872,Not Picked,,16-05-2025 15:00,47,,,,,,
Fest Moment Photography,9710653211,Not Picked,,16-05-2025 15:05,253,,,,,,
One Shot Creation,9710049932,Follow Up,need to call after 2 days,16-05-2025 15:06,61,,,,,,
SPM Hotel,9626528282,Not Picked,,16-05-2025 15:07,37,,,,,,
Venky's Corner,9087000509,Not Picked,,16-05-2025 15:09,129,,,,,,
PUBG RESTAURANT,7550194445,Not Interested,no requirement,16-05-2025 15:10,42,,,,,,
Thaarika Car Travels in Chennai | Innova Car Rental in Chennai| Outstation Car Rental with Driver,8248120476,Not Picked,,16-05-2025 15:14,287,,,,,,
The Tours Company,9003320694,Not Picked,,16-05-2025 15:27,721,,,,,,
Jaba Tours And Travels,9841111680,Not Interested,no requirement,16-05-2025 15:27,36,,,,,,
Dreamadtra,9884746051,Follow Up,need to send details in wh,16-05-2025 15:32,269,,,,,,
K.S.Tours and Travels,8825877107,Follow Up,need to send details in whatsapp he will call after 20 mins,16-05-2025 15:34,110,,,,,,
Vishnu Sri Travels - Bus & Tempo Traveller Rentals,9941302022,Not Picked,,16-05-2025 15:35,73,,,,,,
FLY AIRCITI TOURS & TRAVELS,7448891089,Interested,"bharath, they will register tomorrow",16-05-2025 15:36,81,,,,,,
Elite Tours & Travels Chennai,7010843057,Not Picked,,16-05-2025 15:42,317,,,,,,
Mini Bus Travels,9444239818,Not Picked,,16-05-2025 16:01,1116,,,,,,
Sivasakthi travels,9941406804,Not Interested,"no requirement now, if they need will call back",16-05-2025 16:02,76,,,,,,
SHREE DEE VEE TRAVELS,9840346456,Follow Up,he is in meeting need to call after,16-05-2025 16:04,114,,,,,,
360 degree studio,9840231360,Follow Up,they will say tomorrow morning,16-05-2025 16:06,127,,,,,,
Arun Video Studio,9380704141,Not Picked,,16-05-2025 16:08,94,,,,,,
Sonu digital studio,9884264737,Follow Up,need to follow up next week Wednesday,16-05-2025 16:09,67,,,,,,
FOCUS 1 STUDIOZ,9171714727,Not Picked,,16-05-2025 16:10,50,,,,,,
Raja Photography,7299945222,Follow Up,he will tell the decision by tomorrow,16-05-2025 16:11,51,,,,,,
Prasee Creation,8056177114,Not Picked,,16-05-2025 16:11,15,,,,,,
GK Studios & Makeover Academy,9566183431,Follow Up,she will check the screen and tell,16-05-2025 16:13,81,,,,,,
Kalai photography,8438176207,Not Picked,,16-05-2025 16:13,44,,,,,,
Bloomoon Studio,8838815761,Not Picked,,16-05-2025 16:14,42,,,,,,
Vizion26 studios,8838013310,Not Interested,"no requirement,",16-05-2025 16:15,62,,,,,,
Vicithiram Studio,9840554863,Not Picked,,16-05-2025 16:16,37,,,,,,
Studio 24 Creative Clicks,7448332665,Not Interested,no requirement,16-05-2025 16:19,186,,,,,,
Aura Skin & Hair Clinic | Dr. Dinesh Ponraj | Best Dermatologist in Chennai,7397292888,Follow Up,clinic mobile handle by another person so he will call,16-05-2025 16:25,348,,,,,,
Allergy & Family health care,9043133074,Follow Up,she will check with his team,16-05-2025 16:26,55,,,,,,
H & M Skin and Dermatology Clinic - Dr.Suguna (Best skin doctor in Medavakkam 40 years experienced),8870249438,Not Picked,,16-05-2025 16:26,11,,,,,,
Aesthetiq Clinic | Skin Hair Nail LASER and Cosmetology,9952991351,Not Picked,,16-05-2025 16:27,42,,,,,,
Vijay Skin Hair And Nail Care Clinic,8778532736,Not Picked,,16-05-2025 16:28,35,,,,,,
Renuka aesthetic cosmetology skin & hair wellness beauty care,8248681425,Not Interested,,16-05-2025 16:30,104,,,,,,
REDHILLS SKIN & HAIR CLINIC (Dr. VASUDEVAN),9789033377,Not Interested,,16-05-2025 16:31,56,,,,,,
Apollo Clinic - Porur,7305435694,Not Picked,,16-05-2025 16:31,32,,,,,,
VCare Hair And Skin Clinic - Perambur,7092525252,Not Interested,"tele communicating department , if they need will call you back",16-05-2025 16:32,48,,,,,,
GBR Fertility Centre - Chennai,9940105555,Not Interested,no requirement now,16-05-2025 16:33,47,,,,,,
Bhairavi Skin Hair Laser & Cosmetology Clinic | Skin Care Clinic in ambattur,9842716260,Follow Up,"need to send hi, he will discuss to doctor",16-05-2025 16:35,93,,,,,,
Dr. Dinesh's Skin & Hair Clinic | Dr. D Dinesh Kumar | Anna Nagar | Skin Care Clinic | Hair Care Clinic | Dermatologist,9003217799,Follow Up,"need to send details in wh again , will check",16-05-2025 16:37,152,,,,,,
DR.VIJAY'S HOSPITAL -Best Neurologist In Chennai -Neuro Hospital in Chennai,9840731328,Follow Up,"need to send details in whatsapp, she will inform to doctor",16-05-2025 16:39,87,,,,,,
"GLOBAL SKIN CARE & HAIR TRANSPLANT CLINIC | Dermatologist Dr Jerriton MBBS, MD DVL",8939298892,Follow Up,"need to send details in whatsapp, if they need eill",16-05-2025 16:40,61,,,,,,
Achintya online and offline Music school,8124383891,Not Interested,no requirement now,16-05-2025 16:41,43,,,,,,
SHREE RUBY CHITHURAJ ACADEMY,7338899404,Not Picked,,16-05-2025 16:42,68,,,,,,
"D2 Dance Studio,Mogappair",9043248474,Not Picked,,16-05-2025 16:42,11,,,,,,
AV ARENA - Dance School & Studio #oneplaceforallART,7550155607,Not Interested,no requirement,16-05-2025 16:43,60,,,,,,
"LITTLE MILLENNIUM PRESCHOOL (SIRUSERI, PUDUPAKKAM)",9159049333,Not Picked,,16-05-2025 16:44,47,,,,,,
Buzzing Bees,6379111511,Not Picked,,16-05-2025 16:45,57,,,,,,
THINK RITE PRESCHOOL,7397426360,Not Picked,,16-05-2025 16:46,48,,,,,,
Arul Jothy Public School,9342173393,Not Picked,,16-05-2025 16:47,62,,,,,,
Vrindavan Global Preschool,7299929098,Follow Up,need to call after june,16-05-2025 16:49,65,,,,,,
Jai Tours & Travels,6383777977,Not Picked,,16-05-2025 16:49,48,,,,,,
VDP Tours & Travels,9003111726,Not Picked,,16-05-2025 16:50,20,,,,,,
Traveltron,9962031723,Not Picked,,16-05-2025 16:51,40,,,,,,
Bhuvaneshwari Travels,9884489066,Not Interested,no requirement,16-05-2025 16:51,41,,,,,,
Shree Priya Tours and Travels,7338904813,Not Interested,no requirement,16-05-2025 16:52,36,,,,,,
Ramaeswaram Travel Agency | Temple Tours | History Trails | Trekking | Vehicle Rental,9488455115,Not Picked,,16-05-2025 16:53,37,,,,,,
Travel Ahead Holidays,9710115925,Not Picked,,16-05-2025 16:54,57,,,,,,
Vinayaga tours&travels 24/7 Call me,9790886776,Not Picked,,16-05-2025 16:54,26,,,,,,
SARAN TRAVELS,9514456669,Not Picked,,16-05-2025 16:55,10,,,,,,
DOVIEW HOLIDAY INDIA PVT LTD,9363641800,Follow Up,need to call after next week Tuesday,16-05-2025 16:56,87,,,,,,
Golden Balaji Tourism - Tour and Travel Agency in Chennai,7200197811,Not Interested,their hire officials tell any thing,16-05-2025 16:58,97,,,,,,
Rajan Tours And Travels,6383036779,Not Picked,,16-05-2025 16:58,20,,,,,,
Kolathur Om Sakthi Travels and call Drivers,9840439389,Not Picked,,16-05-2025 16:59,42,,,,,,
PRR BANQUET HALL,7824884466,Not Picked,,16-05-2025 16:59,12,,,,,,
WOWORK,9445670327,Not Picked,,16-05-2025 17:01,59,,,,,,
Square Space Co working space and party hall in Chennai,9840914644,Not Interested,their boss didnt interested,16-05-2025 17:02,78,,,,,,
Galatta Events,9940670383,Not Interested,,16-05-2025 17:04,125,,,,,,
Aikya Event Management,9884944337,Follow Up,"deepak, will say tomorrow",16-05-2025 17:06,103,,,,,,
Hello Wedding,9626896628,Not Interested,"no requirement now , they are busy at events will call if they need",16-05-2025 17:08,97,,,,,,
Royal mandarin event organizer,7010500462,Interested,rubesh need to call after Monday he will do campaign for 1 month,16-05-2025 17:10,168,,,,,,
Instant Event Management,8667074389,Not Interested,no requirement now,16-05-2025 17:11,45,,,,,,
B2B HOLIDAYS,8072626446,Not Picked,,16-05-2025 17:12,36,,,,,,
TWIN STAR PHOTOGRAPHY,9940206830,Follow Up,need to send details,17-05-2025 10:36,118,,Not Interested,no requirement,30-06-2025 16:20,129,
V4 PHOTOGRAPHY,7845869079,Follow Up,,17-05-2025 10:38,122,,Not Picked,,30-06-2025 16:18,43,
Light Cam photography,8973972768,Not Picked,,17-05-2025 10:39,59,,,,,,
BERRYSTALK STUDIOS,9962896333,Not Picked,,17-05-2025 10:40,57,,,,,,
Abi Digital Studio,9884576317,Not Picked,,17-05-2025 10:41,33,,,,,,
fotoland,9585396965,Not Picked,,17-05-2025 10:41,26,,,,,,
Iraiphotography,7305431415,Not Picked,,17-05-2025 10:42,36,,,,,,
Weddings By Sameer,7092909009,Not Picked,,17-05-2025 11:22,2405,,,,,,
Eden Photography Studio,9171636925,Not Interested,no requirement,17-05-2025 11:23,57,,,,,,
STAR LIGHTS STUDIO,9677176827,Follow Up,Sathish will discuss to team,17-05-2025 11:26,131,,Not Interested,no requirement,13-06-2025 17:31,56,
Studio RC,9043236593,Not Picked,,17-05-2025 11:26,27,,,,,,
TWO STAR DIGITAL STUDIO,9940179408,Not Picked,,17-05-2025 11:27,35,,,,,,
Studio Mab,9941601213,Not Picked,,17-05-2025 11:28,56,,,,,,
AP Photo Stories,9003035733,Interested,"parasath need to send details in wh , Guduvanchery location",17-05-2025 11:31,169,,Not Picked,,30-06-2025 16:17,33,
Asifphotography,9789887280,Not Picked,,17-05-2025 11:31,38,,,,,,
CREWONE EVENT PLANNERS & ADVERTISING,8680066566,Not Picked,,17-05-2025 11:34,160,,,,,,
NISSI DIGITAL STUDIO,9094093169,Not Picked,,17-05-2025 11:35,36,,,,,,
RJ creative studio and photo restoration,7094747264,Not Interested,no requirement,17-05-2025 11:36,68,,,,,,
D. Clicks Foto Factory,7010701880,Not Picked,,17-05-2025 11:39,181,,,,,,
Dinesh Studio,9940081650,Not Picked,number is invalid,17-05-2025 11:40,30,,,,,,
SJ PHOTOGRAPHY DIGITAL STUDIO,9677017898,Not Picked,,17-05-2025 11:41,49,,,,,,
Karthick Digital Studio,9443266152,Not Picked,,17-05-2025 11:42,40,,,,,,
Sri Sabari Digital Studio And Video,9962143428,Follow Up,need to send details in whatsapp,17-05-2025 11:43,80,,Not Picked,,13-06-2025 17:32,54,
INFINI CREATORS,8838996198,Not Picked,,17-05-2025 11:43,15,,,,,,
BABU DIGITAL STUDIO,9444879736,Not Picked,,17-05-2025 11:44,25,,,,,,
New Arun Digital Studio & Video,9551327969,Not Picked,,17-05-2025 11:45,67,,,,,,
Sri OSS Digital Studio,9941786025,Not Picked,,17-05-2025 11:46,29,,,,,,
K. M moments capture,9176349238,Follow Up,rajesh need to send details in whatsapp,17-05-2025 11:50,277,,Not Interested,no requirement,30-06-2025 16:16,70,
Agal Pictures,9940960335,Not Picked,,17-05-2025 11:52,80,,,,,,
MOONSUN PHOTOGRAPHY,9962240722,Not Picked,,17-05-2025 11:53,81,,,,,,
SURIYA DIGITAL STUDIO,9791199069,Not Picked,,17-05-2025 11:54,17,,,,,,
Lucky Media Production | Ad film maker | modeling studio,8122169912,Not Picked,,17-05-2025 11:54,41,,,,,,
Sri Iyyan Giftz & Studio,9551533770,Not Picked,,17-05-2025 11:55,9,,,,,,
Jegan photography studio,7299573248,Interested,need designing,14-11-2024 14:34,234,,Interested,he is interested send the details Abt the screens list related to cafes,11-09-2025 17:38,651,Jagan
DREAM WEDDING PHOTOGRAPHY,7338945279,Not Picked,,17-05-2025 12:02,37,,,,,,
R K DIGITAL STUDIO,9551015553,Not Picked,,17-05-2025 12:04,72,,,,,,
Dsquare Studio & Lab,6374019147,Not Picked,,17-05-2025 12:05,78,,,,,,
Foto World colour lab & studio,8754244644,Not Interested,no requirement,14-11-2024 14:30,36,,Callback,call him back,11-09-2025 17:46,34,
Piclu - Wedding photography | Makeup Artist | Decoration & Catering,9363763148,Not Picked,,17-05-2025 12:17,218,,,,,,
Sri Thirumala Digital Studio,8122823977,Not Picked,temporarily out of service,17-05-2025 12:18,14,,,,,,
MANI DIGITAL STUDIO,8925491398,Not Picked,,17-05-2025 12:18,27,,,,,,
Zenfest Events,9080089530,Follow Up,"he will call after some time, busy",17-05-2025 12:19,58,,Not Interested,if need will call back,13-06-2025 17:35,49,
Maadan Photography & Xerox,9840155153,Not Interested,not necessary,17-05-2025 12:22,137,,,,,,
StudioPraz,7299775387,Not Picked,,14-11-2024 14:29,43,,Follow Up,he cut the call,11-09-2025 17:48,127,
Ak Studio,9710615658,Not Interested,no requirement,17-05-2025 12:25,73,,,,,,
D' Panda Studio - Instant Photo Frames | Wedding photography | Makeup Artist | Decoration | Catering & Dj,8807905059,Not Picked,,17-05-2025 12:27,95,,,,,,
Meka Event Studio,9176445599,Not Picked,,17-05-2025 12:28,40,,,,,,
Manik digital Arts,9710237343,Not Picked,,17-05-2025 12:28,21,,,,,,
Stillout Creations,9790963546,Not Picked,,17-05-2025 12:28,15,,,,,,
Pix Crops Solutions,7695848918,Not Picked,,17-05-2025 12:29,10,,,,,,
vinoth3,9791184152,Not Picked,not picked,15-11-2022 20:36,12,,Follow Up,,11-09-2025 17:48,1,
vinoth4,6381286119,Not Picked,not picked,17-05-2025 20:36,11,,Not Interested,nottaa,17-05-2025 21:26,9,
Gkart Digital Studio,8807687714,Not Picked,,19-05-2025 10:15,64,,Not Picked,,01-07-2025 16:58,169,
Barath Digital Studio,9962922586,Not Picked,,19-05-2025 10:16,43,,Not Interested,no requirement,01-07-2025 16:59,50,
SM.BALAJI STUDIO,9566187328,Follow Up,need to send details in whatsapp he will call soon,19-05-2025 10:17,60,,Not Picked,,01-07-2025 17:00,18,
V studios,9841867525,Follow Up,he is in event need to call after some time,19-05-2025 10:18,81,,Not Interested,no requirement,23-05-2025 15:30,49,
"EYETEC PHOTOGRAPHY (Customers, Our Extended Family)",9092060207,Not Picked,,19-05-2025 10:19,32,,Not Picked,,01-07-2025 17:00,23,
SV STUDIOS (BABY PROPS STUDIO),9884183712,Interested,surendar need to send details in whatsapp,19-05-2025 10:27,503,,Not Interested,not interested,18-06-2025 12:17,44,
Harish V Studios,9962137137,Not Picked,,19-05-2025 10:28,16,,Not Picked,,01-07-2025 17:00,7,
Garden Studio,9884251851,Not Interested,no requirement,19-05-2025 10:28,29,,,,,0,
FOTOLAND POONAMALLEE,9585724329,Not Interested,no requirement,19-05-2025 10:29,56,,,,,0,
"GA PHOTOGRAPHY NAZARETHPET,CHENNAI",9626254794,Not Picked,,19-05-2025 10:30,16,,Not Picked,,01-07-2025 17:01,24,
HD Photography,9884245583,Not Picked,,19-05-2025 10:31,64,,Not Picked,,01-07-2025 17:02,40,
NAREN HI FI STUDIO,9791103168,Not Picked,,19-05-2025 10:31,19,,Not Picked,,01-07-2025 17:02,31,
Studio Kalakendra,8754558559,Not Picked,,19-05-2025 10:32,32,,Not Interested,,01-07-2025 17:03,28,
Arun Photo Frame Works (Since 1987),9677242722,Not Picked,,19-05-2025 10:32,17,,Not Picked,,01-07-2025 17:03,18,
Focus and filter Digital studio & Colour lab,9677108039,Not Picked,,19-05-2025 10:33,46,,Not Picked,,01-07-2025 17:04,30,
Sri Balaji Studios,8608888602,Not Interested,no requirement now,19-05-2025 10:34,58,,Not Picked,,22-05-2025 11:35,43,
"Nivashni ""D"" Studios",9841358858,Not Picked,,19-05-2025 10:35,33,,Not Picked,,01-07-2025 17:04,22,
OFFICIAL PHOTOGRAPHERS,9962184876,Not Picked,,19-05-2025 10:35,16,,Not Picked,,01-07-2025 17:05,17,
EDEN PHOTOGRAPHY & PHOTO GIFTS,9940760860,Follow Up,"dharini, need to send details in whatsapp",19-05-2025 10:50,868,,Not Picked,,01-07-2025 17:05,40,
Madhan Photo Studio,8072418184,Follow Up,need to send details in,19-05-2025 10:54,245,,Not Picked,,01-07-2025 17:06,18,
aAa Photography,7824838777,Not Picked,number is invalid,19-05-2025 10:54,16,,Not Picked,,01-07-2025 17:06,17,
Dream Light Studio,9003270861,Not Picked,,19-05-2025 10:55,59,,Not Interested,"no requirement now, they are renovating shop",22-05-2025 11:39,209,
Kara Photography,8825495294,Not Interested,no requirement,19-05-2025 10:57,88,,,,,0,
Pc photo frames,7358270687,Not Picked,,19-05-2025 10:58,40,,Not Picked,,01-07-2025 17:07,19,
MATTLAB PHOTOGRAPHY,9840636371,Not Picked,,19-05-2025 10:58,16,,Not Interested,no requirement,01-07-2025 17:07,18,
Sri Mahalakshmi Digital Studio,9445285787,Not Picked,no requirement,19-05-2025 10:59,49,,Not Picked,,30-06-2025 15:58,28,
Jansi Digital Studio changed in madha photos,9941615107,Not Picked,,19-05-2025 11:00,62,,Not Picked,,30-06-2025 15:59,27,
Garden Studio Photography Institute,8939203031,Follow Up,"aabil , need to send details in whatsapp",19-05-2025 11:03,188,,Not Picked,,30-06-2025 16:00,44,
Omega Modelling Studio,9841099996,Follow Up,"omega, need to call tomorrow,",19-05-2025 11:05,110,,Not Interested,no requirement,30-06-2025 16:00,33,
sathya Studio,9551394746,Follow Up,he is hospital need to call back after some time,19-05-2025 11:07,73,,Not Picked,,30-06-2025 16:01,53,
Sar Photography,9600132762,Not Interested,"we are too small only doing wedding photography so no need , social media is enough",19-05-2025 11:09,112,,,,,0,
Age Studios,9884187655,Not Interested,he is in bed rest so no need,19-05-2025 11:10,56,,,,,0,
96 Studio,8015985388,Follow Up,"need to call after some time , he is in funeral",19-05-2025 11:11,60,,Not Interested,,23-05-2025 15:03,45,
Thulir baby props photo studio,7395997881,Interested,"keerthi, need to send details in whatsapp",14-11-2024 11:13,116,,Callback,need to call her agin,11-09-2025 17:50,83,Keerthi
Seenu Modelling Studio,9710456088,Follow Up,"need to send details in whatsapp, he will call back",19-05-2025 11:15,119,,Not Interested,no requirement,30-06-2025 16:02,48,
SIDHARTH STUDIO,9841888387,Not Interested,don't want advertising,19-05-2025 11:16,60,,,,,0,
Sri Hariharan Photo Lamination,9003252733,Not Picked,,19-05-2025 11:17,64,,Not Picked,,30-06-2025 16:03,21,
ANGEL DIGITAL STUDIO,9884360053,Not Picked,,19-05-2025 11:18,52,,Not Picked,number invalid,30-06-2025 16:03,28,
Enhance MEDIA,9363620075,Not Picked,,19-05-2025 11:19,36,,Not Interested,no requirement,30-06-2025 16:04,70,
LightShadows Photography,9445531082,Not Picked,,19-05-2025 11:20,59,,Not Picked,,30-06-2025 16:05,55,
CHOSEN CHAPTERS PHOTOGRAPHY,9080267246,Not Picked,,19-05-2025 11:22,119,,Not Picked,,30-06-2025 16:06,38,
Studio Grand,9080666021,Follow Up,he is in work need to call after some time,19-05-2025 11:24,95,,Not Interested,no requirement,23-05-2025 15:02,83,
Dreamz Capture Photography Studio,8754503399,Not Picked,,19-05-2025 11:24,31,,Follow Up,need to send details in wh again,30-06-2025 16:11,269,
Lifeshots Photography,9840963136,Not Picked,,19-05-2025 11:25,47,,Not Interested,no requirement,02-06-2025 11:40,124,
R.S Studio Photo and Video,9840143391,Not Picked,not picked,19-05-2025 11:27,129,,Not Picked,,30-06-2025 16:11,33,
Photoculture studio,9092840801,Not Interested,no requirement,19-05-2025 11:35,452,,,,,0,
Happy Pixel Photography,9003239501,Not Picked,,19-05-2025 11:36,38,,Not Picked,,30-06-2025 16:12,33,
Turning Momentz photography studio,9940535656,Interested,"dheena chandra sekar need to send mall cost , sample video",19-05-2025 11:41,346,,Not Picked,,30-06-2025 16:13,41,
S2R Photo Studio,9677223698,Follow Up,ram need to send details in wh,19-05-2025 11:53,679,,Not Interested,,13-06-2025 16:03,186,
"SS Studio ( Wedding,Event,Candid Photographers in chennai)",8939308329,Not Picked,,19-05-2025 11:54,38,,Not Picked,,30-06-2025 16:13,28,
Grace Studio,6382101712,Not Picked,,19-05-2025 11:55,65,,Not Picked,,30-06-2025 16:14,31,
StudioPraz,7299775387,Not Picked,,19-05-2025 14:29,43,,Interested,prasana,23-05-2025 15:36,245,
Zenfest Events,9080089530,Not Interested,no requirement,19-05-2025 14:30,37,,Not Picked,,23-05-2025 15:54,78,
Foto World colour lab & studio,8754244644,Not Interested,no requirement,19-05-2025 14:30,36,,Interested,he will send the video today,23-05-2025 15:56,150,
Jegan photography studio,7299573248,Interested,need designing,19-05-2025 14:34,234,,Follow Up,"they registered , will send content",20-05-2025 17:40,157,
K. M moments capture,9176349238,Not Picked,,19-05-2025 14:35,50,,Follow Up,need to send reference images he will call monday,23-05-2025 16:02,312,
Sri Sabari Digital Studio And Video,9962143428,Not Interested,no requirement now,19-05-2025 14:36,52,,Not Picked,,23-05-2025 16:02,29,
AP Photo Stories,9003035733,Follow Up,he said will register soon,19-05-2025 14:52,939,,Not Picked,switched off,23-05-2025 16:02,12,
STAR LIGHTS STUDIO,9677176827,Not Interested,no requirement now,19-05-2025 14:53,56,,Not Picked,,23-05-2025 16:04,95,
V4 PHOTOGRAPHY,7845869079,Not Picked,,19-05-2025 14:53,14,,Not Picked,,23-05-2025 16:08,211,
TWIN STAR PHOTOGRAPHY,9940206830,Interested,need 2 days time,19-05-2025 14:55,63,,Not Picked,,23-05-2025 16:05,38,
Aikya Event Management,9884944337,Not Interested,no requirement,19-05-2025 14:56,32,,Not Picked,,23-05-2025 16:13,35,
DOVIEW HOLIDAY INDIA PVT LTD,9363641800,Not Picked,,19-05-2025 14:56,15,,Not Picked,,26-05-2025 16:53,40,
Vrindavan Global Preschool,7299929098,Follow Up,need to call june,19-05-2025 14:57,43,,Follow Up,need to call after june,20-05-2025 17:54,15,
Bhairavi Skin Hair Laser & Cosmetology Clinic | Skin Care Clinic in ambattur,9842716260,Not Interested,no requirement,19-05-2025 14:58,35,,Not Picked,,22-05-2025 16:43,2125,
Dr. Dinesh's Skin & Hair Clinic | Dr. D Dinesh Kumar | Anna Nagar | Skin Care Clinic | Hair Care Clinic | Dermatologist,9003217799,Not Picked,,19-05-2025 14:59,45,,Not Interested,if need will call,22-05-2025 16:44,66,
DR.VIJAY'S HOSPITAL -Best Neurologist In Chennai -Neuro Hospital in Chennai,9840731328,Not Picked,,19-05-2025 14:59,36,,Not Picked,,23-05-2025 16:15,17,
"GLOBAL SKIN CARE & HAIR TRANSPLANT CLINIC | Dermatologist Dr Jerriton MBBS, MD DVL",8939298892,Follow Up,need to call after 6 clk,19-05-2025 15:00,37,,Not Picked,,23-05-2025 16:15,58,
Aura Skin & Hair Clinic | Dr. Dinesh Ponraj | Best Dermatologist in Chennai,7397292888,Not Interested,no requirement,19-05-2025 15:01,54,,Not Picked,,26-05-2025 17:16,47,
Allergy & Family health care,9043133074,Not Picked,,19-05-2025 15:02,53,,Not Picked,,26-05-2025 17:15,52,
GK Studios & Makeover Academy,9566183431,Not Picked,line busy,19-05-2025 15:03,25,,Not Picked,,26-05-2025 17:21,25,
Raja Photography,7299945222,Not Picked,,19-05-2025 15:04,78,,Not Picked,,26-05-2025 17:24,122,
Sonu digital studio,9884264737,Not Picked,,19-05-2025 15:05,31,,Not Interested,no requirement,23-05-2025 16:17,54,
SHREE DEE VEE TRAVELS,9840346456,Not Picked,,19-05-2025 15:05,28,,Not Picked,,26-05-2025 17:43,43,
360 degree studio,9840231360,Not Picked,line busy,19-05-2025 15:06,38,,Not Picked,line busy,26-05-2025 17:29,100,
FLY AIRCITI TOURS & TRAVELS,7448891089,Interested,"already registered, waiting for designing posters",19-05-2025 15:12,383,,Not Picked,,26-05-2025 17:02,81,
Dreamadtra,9884746051,Not Picked,,19-05-2025 15:13,37,,Not Picked,,23-05-2025 16:19,33,
K.S.Tours and Travels,8825877107,Interested,need to send details in whatsapp,19-05-2025 15:16,174,,Follow Up,"he will the poster here, we need to design",23-05-2025 16:21,126,
One Shot Creation,9710049932,Not Picked,,19-05-2025 15:17,59,,Not Picked,,23-05-2025 16:22,27,
APOLLO COMPUTER EDUCATION- AVADI,8939147333,Not Interested,no requirement,19-05-2025 15:18,32,,not interested,"she will call back , owner is out of station",23-05-2025 16:23,68,
Pioneer Matric Hr. Sec. School,7811833155,Not Interested,no requirement,19-05-2025 15:18,40,,Not Interested,no requirement,21-05-2025 17:22,44,
LIGHTEX PHOTOGRAPHY,9715222266,Not Picked,,19-05-2025 15:20,73,,Follow Up,he will check later,21-05-2025 17:23,49,
Sandy Photography,8939455729,Not Interested,no requirement now,19-05-2025 15:21,58,,Not Picked,,23-05-2025 16:26,161,
Life Lights Photography - wedding photography,9176452872,Not Interested,no requirement,19-05-2025 15:23,102,,Not Picked,,23-05-2025 16:26,24,
Concept Studios,9363635187,Follow Up,9962133623- this number is not picked,19-05-2025 15:27,238,,Not Interested,no requirement,21-05-2025 17:24,10,
Oh My Baby - Photography Studio,7708090350,Not Picked,,19-05-2025 15:30,0,,Not Picked,,21-05-2025 17:24,24,
LENSE9STUDIO,9087890344,Follow Up,"he will call back, will discuss to his team",19-05-2025 15:33,206,,Not Picked,,21-05-2025 17:25,15,
BLUE STAR NURSERY & PRIMARY SCHOOL,9444201799,Not Picked,,19-05-2025 15:35,75,,Not Picked,,21-05-2025 17:26,45,
LITTLE MILLENNIUM PRESCHOOL KELAMBAKKAM,9176549333,Interested,they need kazhipattur so 9965345333,19-05-2025 15:43,507,,Not Interested,,21-05-2025 17:26,10,
PTC Aviation Academy,7200015600,Not Picked,,19-05-2025 15:52,552,,Not Picked,,21-05-2025 17:26,26,
"C.H.I.L.D Pre-school,kovur",9092091859,Interested,"need to send the registration link , they are preparing posters",19-05-2025 15:55,167,,Not Picked,,21-05-2025 17:27,20,
Kidzee Kundrathur,8328517764,Not Picked,,19-05-2025 15:57,63,,Not Picked,,21-05-2025 17:27,32,
"Magathi Vidhya Kendra Preschool, Kundrathur, Chennai",8925699887,Not Picked,,19-05-2025 15:58,64,,Not Picked,,21-05-2025 17:28,38,
Penguin Matriculation Higher Secondary School,9551281628,Not Interested,no requirement now need on June only,19-05-2025 15:59,63,,Not Interested,no requirement,21-05-2025 17:30,39,
KC Allied Health Institute,6381261922,Not Picked,,19-05-2025 16:00,56,,Not Picked,,21-05-2025 17:29,36,
V Achievers IAS Academy,8925308231,Not Interested,no requirement now,19-05-2025 16:01,40,,,,,0,
Fest Moment Photography,9710653211,Not Picked,,19-05-2025 16:02,54,,Not Picked,,21-05-2025 17:30,42,
